x,y,z
0.253886299,5.19956152,0.91743
1.718156299,4.92896152,0.4762
0.913986299,4.94956152,0.5236
1.503316299,4.38866152,0.69382
1.159226299,4.72506152,0.77298
-0.445363701,4.53616152,1.28701
0.688266299,4.89586152,0.8281
1.738476299,4.85096152,0.46725
1.136216299,5.16066152,0.56949
1.534696299,4.28346152,0.68313
1.196966299,4.63566152,0.76544
-0.394243701,4.45956152,1.28442
0.740676299,4.82876152,0.82488
0.346016299,5.08486152,0.91311
1.767856299,4.74926152,0.45575
1.277406299,5.22616152,0.59002
1.568146299,4.17996152,0.67273
1.225786299,4.53146152,0.75539
-0.360983701,4.35966152,1.27905
0.800476299,4.77166152,0.82327
1.802336299,4.65416152,0.44553
1.330376299,5.16586152,0.587
1.590556299,4.05596152,0.65886
1.271746299,4.45216152,0.74953
-0.319483701,4.26916152,1.27479
0.860696299,4.71486152,0.82166
1.834726299,4.55406152,0.43434
1.402646299,5.13356152,0.58912
1.555536299,3.83086152,0.62793
1.322676299,4.37976152,0.74478
-0.286883701,4.16606152,1.26905
0.894436299,4.61916152,0.81362
1.826166299,4.38236152,0.40974
1.483806299,5.11496152,0.59365
0.878686299,5.11396152,0
1.361606299,4.28736152,0.73669
0.939076299,4.53826152,0.80799
1.872876299,4.30246152,0.40239
1.554066299,5.08056152,0.59516
1.049226299,5.25006152,0.04103
1.379626299,4.19916152,0.72747
0.976066299,4.48216152,0.8045
1.898836299,4.22596152,0.39376
1.608226299,5.05706152,0.59667
1.139196299,5.24156152,0.04984
1.406786299,4.08486152,0.71575
1.012116299,4.38666152,0.79645
1.871346299,4.01216152,0.36149
1.601896299,4.90356152,0.57644
1.242416299,5.25306152,0.06326
1.053406299,4.29776152,0.78948
1.573976299,4.71286152,0.54957
1.335226299,5.25086152,0.07323
1.091246299,4.20236152,0.78143
0.667156299,4.43586152,0.87037
1.681106299,4.73446152,0.56104
1.362946299,5.15356152,0.06058
1.111956299,4.07846152,0.76883
0.675436299,4.29986152,0.85663
1.776296299,4.73846152,0.56919
1.140236299,3.96446152,0.75783
0.713026299,4.20446152,0.84926
1.809656299,4.64176152,0.55923
0.696486299,5.12506152,0.0985
1.110406299,3.75426152,0.73155
0.787016299,5.14626152,0.11168
0.681856299,3.88856152,0.81339
1.821766299,4.39046152,0.52722
0.942966299,5.22486152,0.14059
1.847316299,4.27466152,0.51394
1.011706299,5.18506152,0.14205
1.789336299,4.01146152,0.47469
1.116986299,5.19716152,0.15522
1.218456299,5.20536152,0.1673
1.321766299,5.21756152,0.18011
1.392036299,5.21726152,0.18742
1.460626299,5.18046152,0.18889
1.540266299,5.16046152,0.19401
1.610206299,5.12626152,0.19584
1.667496299,5.07276152,0.19328
1.691406299,4.96646152,0.17901
1.681996299,4.84226152,0.15852
1.726746299,4.76566152,0.15083
1.822536299,4.77136152,0.16108
1.761566299,4.36286152,0.09009
2.567997223,-0.36737978,1.49337
2.783737223,-0.48661978,1.14075
2.159467223,-0.48409978,0.15054
2.477097223,-0.36130978,1.50745
2.548437223,-0.53521978,1.19304
2.809417223,-0.54371978,0.76022
2.570237223,-0.48062978,1.18397
1.907337223,-0.51323978,0.24651
1.820617223,-0.56104978,0.96548
2.700157223,-0.54008978,0.7879
2.478217223,-0.47342978,1.20212
1.776857223,-0.53984978,0.97422
2.617937223,-0.52690978,0.80759
2.382757223,-0.46881978,1.22113
1.713957223,-0.52823978,0.98898
2.553637223,-0.50734978,0.82196
2.307187223,-0.45671978,1.23539
1.644767223,-0.53069978,1.00702
2.254897223,-0.59738978,0.90766
2.230457223,-0.45706978,1.25095
1.554457223,-0.53404978,1.03052
2.168197223,-0.59040978,0.92895
2.670797223,-0.37854978,1.51364
1.491927223,-0.52464978,1.04527
2.081637223,-0.58441978,0.95024
2.427327223,-0.43640978,1.55531
1.511377223,-0.46699978,0.38012
1.431207223,-0.51505978,1.05948
2.032307223,-0.56314978,0.96036
1.636827223,-0.58860978,0.73757
2.468407223,-0.37293978,1.54464
1.324407223,-0.52997978,1.08845
1.965337223,-0.55025978,0.9758
1.593647223,-0.56843978,0.74764
2.408067223,-0.35380978,1.55264
1.264007223,-0.52199978,1.10266
1.912477223,-0.53174978,0.98697
1.524767223,-0.56107978,0.76717
1.187337223,-0.53312978,1.12343
1.835597223,-0.53531978,1.00667
1.475317223,-0.55501978,0.78103
2.455627223,-0.55357978,0.53632
1.736747223,-0.43826978,1.34818
2.681097223,-0.45029978,1.20953
1.100087223,-0.53423978,0.53736
1.147537223,-0.51555978,1.13108
1.767117223,-0.52536978,1.02264
1.430447223,-0.53717978,0.79173
2.413377223,-0.52640978,0.54556
1.534087223,-0.31816978,1.651997
2.565497223,-0.45270978,1.23254
1.020447223,-0.53928978,0.56615
1.060447223,-0.52421978,1.15403
1.674337223,-0.52773978,1.04606
1.355037223,-0.53516978,0.81378
2.772797223,-0.49671978,0.82105
2.487867223,-0.44012978,1.24676
0.942687223,-0.54432978,0.5942
1.010667223,-0.51333978,1.16496
1.620007223,-0.51274978,1.05777
1.298397223,-0.52449978,0.8289
2.643947223,-0.50280978,0.85366
1.602517223,-0.37970978,1.36892
2.378117223,-0.44261978,1.26851
0.840897223,-0.56395978,0.63332
0.967647223,-0.49919978,1.17371
1.532807223,-0.51445978,1.07959
1.214877223,-0.52843978,0.85409
2.501177223,-0.51639978,0.89042
2.382857223,-0.39518978,1.26349
0.787927223,-0.55703978,0.6503
2.348197223,-0.54688978,0.19964
0.904587223,-0.49695978,1.18901
1.468277223,-0.50599978,1.0945
1.155097223,-0.52091978,0.87047
2.264677223,-0.57191978,0.95461
0.734187223,-0.56037978,0.66949
2.212607223,-0.57191978,0.25085
1.847807223,-0.57976978,0.02094
0.860727223,-0.49380978,1.19939
1.402737223,-0.50878978,1.111
1.075997223,-0.53402978,0.89566
2.181897223,-0.57475978,0.97532
1.200137223,-0.30816978,1.702126
2.666707223,-0.33848978,1.56103
2.244687223,-0.51410978,0.23093
1.777247223,-0.57077978,0.04752
0.831127223,-0.47329978,1.20376
1.343587223,-0.49902978,1.1243
1.016517223,-0.52786978,0.91204
2.127157223,-0.55528978,0.98671
1.134997223,-0.30556978,1.71174
1.665877223,-0.33505978,1.664307
2.362517223,-0.42635978,1.61183
2.168717223,-0.50375978,0.25583
1.731607223,-0.55082978,0.06202
1.281097223,-0.49169978,1.13868
0.920557223,-0.54245978,0.94227
2.056537223,-0.54350978,1.00275
1.667367223,-0.57212978,0.77237
2.425637223,-0.58730978,0.61325
0.986967223,-0.35288978,1.738177
2.469877223,-0.33250978,1.58979
1.712327223,-0.51863978,0.06363
1.218717223,-0.48504978,1.15305
0.863087223,-0.53689978,0.95802
1.973697223,-0.53811978,1.02243
1.603547223,-0.56192978,0.78963
2.411637223,-0.54844978,0.61265
1.032237223,-0.28623978,1.725474
2.364607223,-0.33450978,1.60544
2.539337223,-0.47702978,1.30018
1.763577223,-0.45201978,0.03061
1.163247223,-0.47543978,1.16529
0.828867223,-0.51886978,0.96495
1.905037223,-0.52717978,1.03796
2.411457223,-0.50374978,0.60725
0.984327223,-0.27532978,1.731654
2.548127223,-0.42747978,1.29456
1.902537223,-0.49608978,0.34688
2.425607223,-0.18822978,1.798206
1.743687223,-0.41967978,0.03222
1.075667223,-0.48391978,1.18765
0.751787223,-0.52573978,0.98825
1.813747223,-0.52768978,1.06022
2.706337223,-0.50778978,0.90214
2.430247223,-0.45067978,0.59526
0.921377223,-0.27423978,1.740924
2.436007223,-0.42970978,1.31584
1.696107223,-0.56210978,0.42868
2.333577223,-0.19761978,1.810923
1.796527223,-0.36138978,0
1.060017223,-0.46352978,1.18871
0.724937223,-0.51359978,0.99392
1.738887223,-0.53187978,1.07885
2.570377223,-0.52813978,0.93671
2.475557223,-0.39698978,0.57548
0.873027223,-0.27463978,1.748135
1.673467223,-0.53180978,0.43152
2.269207223,-0.18281978,1.818437
1.772837223,-0.33053978,0.00322
0.635137223,-0.52949978,1.02226
1.642807223,-0.53678978,1.10267
2.439727223,-0.53644978,0.96877
2.430667223,-0.37086978,0.58507
0.823707223,-0.26630978,1.754658
1.265417223,-0.31100978,1.721972
1.623797223,-0.51485978,0.44575
2.188967223,-0.17667978,1.828552
1.761967223,-0.29314978,0
0.179407223,-0.49705978,1.11233
0.531047223,-0.55518978,1.05628
1.567797223,-0.53256978,1.12027
2.336197223,-0.53503978,0.99331
0.779437223,-0.25527978,1.760152
1.211907223,-0.30057978,1.728972
1.527247223,-0.39745978,1.42872
2.457197223,-0.29425978,1.30058
1.502167223,-0.53424978,0.49056
2.100067223,-0.17591978,1.840112
1.731407223,-0.26600978,0.00644
0.139727223,-0.48916978,1.12196
0.489147223,-0.54469978,1.06635
1.539607223,-0.50586978,1.12389
2.240007223,-0.53177978,1.01585
1.755687223,-0.58701978,0.80629
0.735197223,-0.24470978,1.765645
1.134517223,-0.30445978,1.740638
1.424377223,-0.53312978,0.51688
1.977977223,-0.19341978,1.857164
1.092087223,-0.56454978,0.31653
0.588237223,-0.29255978,1.23546
0.089227223,-0.48925978,1.13607
0.479617223,-0.51475978,1.06383
1.432047223,-0.51964978,1.15133
2.158217223,-0.52343978,1.03439
1.675887223,-0.58280978,0.82847
0.733757223,-0.20633978,1.762212
1.076107223,-0.29827978,1.748638
0.702667223,-0.07541978,1.47498
2.563917223,-0.30886978,1.63638
1.345107223,-0.53374978,0.54391
1.929947223,-0.17372978,1.862077
0.987717223,-0.58281978,0.36083
0.538717223,-0.28742978,1.24639
0.040417223,-0.48879978,1.14955
0.421547223,-0.51495978,1.08021
1.381537223,-0.50546978,1.16168
2.048247223,-0.52856978,1.06094
1.627327223,-0.56485978,0.83986
2.652787223,-0.55798978,0.61523
0.723817223,-0.17336978,1.760495
1.034787223,-0.28267978,1.753305
0.623137223,-0.09080978,1.49181
2.423777223,-0.32498978,1.65691
1.270027223,-0.54298978,0.57094
1.935427223,-0.13725978,1.858898
0.852337223,-0.62880978,0.42284
0.517567223,-0.27311978,1.24913
0.006607223,-0.48684978,1.15853
0.375697223,-0.51703978,1.09344
1.341957223,-0.49607978,1.16996
1.967277223,-0.53266978,1.08047
1.577547223,-0.55809978,0.85305
2.483177223,-0.59273978,0.66695
0.723137223,-0.14394978,1.757748
0.992787223,-0.27782978,1.758971
0.222867223,-0.34547978,1.59943
1.669697223,-0.30129978,1.704177
2.390937223,-0.30539978,1.660231
1.177967223,-0.55223978,0.60366
1.908137223,-0.10689978,1.860343
0.929617223,-0.54888978,0.37613
-0.031212777,-0.47947978,1.16752
0.335537223,-0.50710978,1.10289
1.291497223,-0.48283978,1.18032
1.878957223,-0.53038978,1.10101
